Q9 - To what extent do you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have the resources I need to deliver what is expected of me.,70%,77%,71%,84%,62%,65%,38%,76%,79%,81%,70%,68%,74%,72%,66%,64%,72%,69%,74%,66%,66%,70%,70%,64%,66%,68%,72%,72%,69%,71%,66%,59%,66%,69%,73%,82%,73%,70%,69%,73%,73%,66%,67%,67%,71%,70%,68%,74%,69%,68%,70%,66%,65%,71%,64%,68%,67%,65%,78%,82%,77%,70%,71%,62%,63%,65%,75%,66%,71%,67%,62%,64%,71%,77%,76%
My manager is supportive and helpful,68%,75%,70%,84%,58%,57%,41%,74%,74%,79%,70%,67%,73%,71%,63%,59%,61%,70%,72%,63%,58%,67%,69%,59%,62%,63%,69%,71%,67%,69%,64%,59%,61%,67%,68%,82%,71%,69%,69%,73%,71%,67%,62%,65%,67%,67%,64%,75%,64%,64%,67%,64%,68%,69%,60%,65%,60%,60%,75%,80%,76%,68%,70%,58%,62%,62%,73%,58%,66%,65%,59%,59%,70%,76%,74%
I feel that I can be my full self around my co-workers.,67%,71%,66%,80%,67%,61%,36%,72%,75%,77%,66%,62%,69%,69%,65%,62%,68%,66%,69%,65%,64%,67%,67%,59%,60%,65%,66%,70%,66%,68%,64%,55%,55%,65%,68%,79%,70%,66%,68%,63%,68%,63%,65%,67%,65%,64%,49%,61%,61%,63%,64%,64%,67%,70%,62%,64%,61%,61%,69%,78%,73%,67%,68%,59%,59%,62%,73%,60%,69%,66%,59%,61%,67%,74%,72%
I am comfortable talking to my manager about needs related to my health and wellbeing,64%,70%,64%,81%,61%,56%,35%,66%,66%,67%,64%,62%,68%,67%,60%,57%,58%,64%,68%,60%,55%,63%,65%,58%,58%,60%,66%,67%,63%,65%,60%,57%,50%,64%,66%,78%,67%,66%,63%,64%,66%,61%,60%,61%,66%,61%,62%,56%,65%,62%,55%,60%,66%,67%,57%,61%,53%,57%,72%,78%,72%,63%,64%,55%,57%,58%,69%,58%,65%,61%,55%,57%,63%,72%,72%
