Q7 - To what extent do you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am concerned about the cost of living outpacing my current salary,70%,72%,67%,77%,68%,67%,62%,67%,77%,66%,75%,72%,71%,72%,71%,65%,64%,72%,72%,70%,64%,74%,67%,69%,67%,65%,71%,71%,71%,70%,73%,59%,72%,65%,70%,72%,63%,71%,71%,68%,70%,72%,74%,71%,71%,71%,58%,81%,66%,70%,59%,74%,76%,70%,69%,73%,67%,67%,67%,69%,68%,69%,71%,72%,70%,71%,71%,72%,66%,70%,70%,71%,71%,70%,63%
My current role leaves me feeling fulfilled,66%,68%,61%,78%,62%,66%,44%,77%,76%,81%,61%,62%,69%,69%,62%,60%,68%,65%,69%,62%,62%,65%,67%,63%,64%,62%,68%,69%,64%,67%,59%,54%,64%,66%,66%,79%,70%,66%,68%,64%,68%,60%,66%,64%,66%,67%,53%,68%,64%,64%,68%,58%,66%,70%,60%,57%,52%,60%,76%,81%,75%,66%,67%,55%,58%,61%,72%,58%,62%,61%,58%,60%,66%,74%,75%
I am open to changing industries to have better job security,63%,68%,62%,80%,50%,55%,46%,78%,62%,78%,63%,69%,70%,68%,59%,44%,39%,69%,69%,56%,40%,61%,64%,54%,56%,64%,64%,68%,61%,64%,59%,58%,59%,64%,68%,73%,69%,67%,58%,65%,68%,54%,56%,63%,66%,49%,51%,53%,65%,59%,54%,65%,68%,68%,58%,63%,59%,56%,69%,72%,70%,64%,65%,53%,61%,58%,66%,52%,50%,57%,57%,57%,66%,67%,63%
I feel confident I could easily find a new role if I left my current company in the next few months,62%,68%,61%,81%,49%,61%,25%,70%,67%,66%,65%,66%,69%,67%,56%,44%,46%,67%,69%,54%,43%,59%,64%,50%,54%,63%,63%,68%,60%,64%,54%,52%,51%,61%,62%,77%,69%,66%,58%,61%,67%,49%,64%,59%,67%,52%,49%,65%,58%,62%,58%,57%,62%,65%,57%,57%,54%,52%,69%,77%,73%,63%,63%,50%,57%,59%,67%,48%,53%,54%,52%,59%,63%,69%,69%
